iso_code,location,continent,Cases,lat,long
MMR,Myanmar,Asia,633683,22,98
MNE,Montenegro,Europe,284724,42,19
MNG,Mongolia,Asia,1007422,46,105
MNP,Northern Mariana Islands,Oceania,13236,15.2,145.75
MOZ,Mozambique,Africa,231039,-18.25,35
MRT,Mauritania,Africa,63484,20,-12
MSR,Montserrat,North America,1403,16.75,-62.2
MTQ,Martinique,North America,227804,14.67,-61
MUS,Mauritius,Africa,292189,-20.28,57.55
MWI,Malawi,Africa,88308,-13.5,34
MYS,Malaysia,Asia,5026164,2.5,112.5
MYT,Mayotte,Africa,42868,-12.83,45.17
NAM,Namibia,Africa,170352,-22,17
NCL,New Caledonia,Oceania,79577,-21.5,165.5
NER,Niger,Africa,9494,16,8
NGA,Nigeria,Africa,266450,10,8
NIC,Nicaragua,North America,15365,13,-85
NIU,Niue,Oceania,458,-19.03,-169.87
NLD,Netherlands,Europe,8569186,52.5,5.75
NOR,Norway,Europe,1475146,62,10
NPL,Nepal,Asia,1001003,28,84
NRU,Nauru,Oceania,4621,-0.53,166.92
NZL,New Zealand,Oceania,2057450,-41,174
OMN,Oman,Asia,399312,21,57
PAK,Pakistan,Asia,1575651,30,70
PAN,Panama,North America,1023778,9,-80
PCN,Pitcairn,Oceania,4,NULL,NULL
PER,Peru,South America,4454236,-10,-76
PHL,Philippines,Asia,4062659,13,122
PLW,Palau,Oceania,5971,7.5,134.5
PNG,Papua New Guinea,Oceania,46714,-6,147
POL,Poland,Europe,6368448,52,20
PRI,Puerto Rico,North America,1052280,18.25,-66.5
PRK,North Korea,Asia,0,"40,127",
PRT,Portugal,Europe,5555690,39.5,-8
PRY,Paraguay,South America,725365,-23,-58
PSE,Palestine,Asia,703228,32,35.25
PYF,French Polynesia,Oceania,77957,-15,-140
QAT,Qatar,Asia,489332,25.5,51.25
REU,Reunion,Africa,488508,-21.1,55.6
ROU,Romania,Europe,3308480,46,25
RUS,Russia,Europe,21798509,60,100
RWA,Rwanda,Africa,132979,-2,30
SAU,Saudi Arabia,Asia,826984,25,45
SDN,Sudan,Africa,63686,15,30
SEN,Senegal,Africa,88900,14,-14
SGP,Singapore,Asia,2201379,1.37,103.8
SHN,Saint Helena,Africa,2166,-15.93,-5.7
SLB,Solomon Islands,Oceania,24575,-8,159
SLE,Sierra Leone,Africa,7760,8.5,-11.5
SLV,El Salvador,North America,201785,13.83,-88.92
SMR,San Marino,Europe,23136,43.77,12.42
SOM,Somalia,Africa,27310,10,49
SPM,Saint Pierre and Miquelon,North America,3367,46.83,-56.33
SRB,Serbia,Europe,2445479,44,21
SSD,South Sudan,Africa,18368,NULL,NULL
STP,Sao Tome and Principe,Africa,6279,1,7
SUR,Suriname,South America,81591,4,-56
SVK,Slovakia,Europe,1859186,48.67,19.5
SVN,Slovenia,Europe,1307915,46,15
SWE,Sweden,Europe,2678465,62,15
SWZ,Eswatini,Africa,74021,-26.5,31.5
SXM,Sint Maarten (Dutch part),North America,10993,NULL,NULL
SYC,Seychelles,Africa,50355,-4.58,55.67
SYR,Syria,Asia,57423,35,38
TCA,Turks and Caicos Islands,North America,6479,21.75,-71.58
TCD,Chad,Africa,7650,15,19
TGO,Togo,Africa,39343,8,1.17
THA,Thailand,Asia,4723954,15,100
TJK,Tajikistan,Asia,17786,39,71
TKL,Tokelau,Oceania,5,-9,-172
TKM,Turkmenistan,Asia,0,40,60
TLS,Timor,Asia,23397,NULL,NULL
TON,Tonga,Oceania,16412,-20,-175
TTO,Trinidad and Tobago,North America,186033,11,-61
TUN,Tunisia,Africa,1147571,34,9
TUR,Turkey,Asia,17004677,39,35
TUV,Tuvalu,Oceania,2779,-8,178
TZA,Tanzania,Africa,42396,"-6,35",
UGA,Uganda,Africa,169980,1,32
UKR,Ukraine,Europe,5357941,49,32
URY,Uruguay,South America,1012017,-33,-56
USA,United States,North America,99411696,38,-97
UZB,Uzbekistan,Asia,249675,41,64
VAT,Vatican,Europe,26,41.9,12.45
VCT,Saint Vincent and the Grenadines,North America,9735,13.25,-61.2
VEN,Venezuela,South America,550388,8,-66
VGB,British Virgin Islands,North America,7305,"18.5,-64.5",
VIR,United States Virgin Islands,North America,23776,"18.33,-64.83",
VNM,Vietnam,Asia,11525144,16,106
VUT,Vanuatu,Oceania,12014,-16,167
WLF,Wallis and Futuna,Oceania,3427,-13.3,-176.2
WSM,Samoa,Oceania,16279,-13.58,-172.33
YEM,Yemen,Asia,11945,15,48
ZAF,South Africa,Africa,4048580,-29,24
ZMB,Zambia,Africa,334196,-15,30
ZWE,Zimbabwe,Africa,260100,-20,30
